symbol,sector_group
STC,ICB2:5500
STG,ICB2:2700
STK,ICB2:3700
STP,ICB2:2700
SVC,ICB2:3300
SVD,ICB2:3700
SVN,ICB2:2300
SVT,ICB2:5300
SZB,ICB2:8600
SZC,ICB2:8600
SZL,ICB2:8600
TA9,ICB2:2300
TAL,ICB2:8600
TBC,ICB2:7500
TCB,ICB2:8300
TCH,ICB2:8600
TCI,ICB2:8700
TCL,ICB2:2700
TCM,ICB2:3700
TCO,ICB2:3500
TCR,ICB2:2300
TCT,ICB2:5700
TCX,ICB2:8700
TD6,ICB2:1700
TDC,ICB2:8600
TDG,ICB2:7500
TDH,ICB2:8600
TDM,ICB2:7500
TDP,ICB2:2700
TDT,ICB2:3700
TDW,ICB2:7500
TEG,ICB2:8600
TET,ICB2:3700
TFC,ICB2:3500
THB,ICB2:3500
THD,ICB2:8600
THG,ICB2:2300
THS,ICB2:5300
THT,ICB2:1700
TIG,ICB2:8600
TIP,ICB2:8600
TIX,ICB2:8600
TJC,ICB2:2700
TKU,ICB2:1700
TLD,ICB2:2300
TLG,ICB2:3700
TLH,ICB2:1700
TMB,ICB2:1700
TMC,ICB2:7500
TMP,ICB2:7500
TMS,ICB2:2700
TMT,ICB2:3300
TMX,ICB2:2300
TN1,ICB2:8600
TNC,ICB2:1300
TNG,ICB2:3700
TNH,ICB2:4500
TNI,ICB2:1700
TNT,ICB2:2300
TOT,ICB2:2700
TPB,ICB2:8300
TPC,ICB2:1300
TPP,ICB2:2700
TRA,ICB2:4500
TRC,ICB2:1300
TSA,ICB2:2300
TSB,ICB2:2700
TSC,ICB2:1300
TTA,ICB2:7500
TTC,ICB2:2300
TTE,ICB2:7500
TTF,ICB2:1700
TTH,ICB2:1700
TTL,ICB2:2300
TTT,ICB2:5700
TV2,ICB2:2700
TV3,ICB2:2700
TV4,ICB2:2700
TVB,ICB2:8700
TVC,ICB2:8700
TVD,ICB2:1700
TVS,ICB2:8700
TVT,ICB2:3700
TXM,ICB2:2300
TYA,ICB2:2700
UIC,ICB2:7500
UNI,ICB2:9500
V12,ICB2:2300
V21,ICB2:8600
VAB,ICB2:8300
VBB,ICB2:8300
VBC,ICB2:2700
VC1,ICB2:2300
VC2,ICB2:2300
VC3,ICB2:8600
VC6,ICB2:2300
VC7,ICB2:2300
VC9,ICB2:2300
