date,branch,cash,equity,positions
2024-10-14,TFM,67481084.47030869,114627417.28280869,3
2024-10-15,TFM,67481084.47030869,114505765.32968369,3
2024-10-16,TFM,67481084.47030869,114362955.17343369,3
2024-10-17,TFM,67481084.47030869,114921819.82187119,3
2024-10-18,TFM,67481084.47030869,114603446.18905869,3
2024-10-21,TFM,67481084.47030869,114117954.39218369,3
2024-10-22,TFM,67481084.47030869,113505776.65780869,3
2024-10-23,TFM,79544091.76336655,113519493.91180405,2
2024-10-24,TFM,105501420.24961142,113351420.24961142,1
2024-10-25,TFM,105501420.24961142,113221420.24961142,1
2024-10-28,TFM,113198269.89961143,113198269.89961143,0
2024-10-29,TFM,113198269.89961143,113198269.89961143,0
2024-10-30,TFM,113198269.89961143,113198269.89961143,0
2024-10-31,TFM,113198269.89961143,113198269.89961143,0
2024-11-01,TFM,113198269.89961143,113198269.89961143,0
2024-11-04,TFM,113198269.89961143,113198269.89961143,0
2024-11-05,TFM,113198269.89961143,113198269.89961143,0
2024-11-06,TFM,113198269.89961143,113198269.89961143,0
2024-11-07,TFM,113198269.89961143,113198269.89961143,0
2024-11-08,TFM,113198269.89961143,113198269.89961143,0
2024-11-11,TFM,113198269.89961143,113198269.89961143,0
2024-11-12,TFM,96346439.67347549,113013106.86097549,1
2024-11-13,TFM,96346439.67347549,112740378.73597549,1
2024-11-14,TFM,96346439.67347549,112285833.42347549,1
2024-11-15,TFM,112238035.16646768,112238035.16646768,0
2024-11-18,TFM,112238035.16646768,112238035.16646768,0
2024-11-19,TFM,112238035.16646768,112238035.16646768,0
2024-11-20,TFM,112238035.16646768,112238035.16646768,0
2024-11-21,TFM,112238035.16646768,112238035.16646768,0
2024-11-22,TFM,112238035.16646768,112238035.16646768,0
2024-11-25,TFM,112238035.16646768,112238035.16646768,0
2024-11-26,TFM,112238035.16646768,112238035.16646768,0
2024-11-27,TFM,112238035.16646768,112238035.16646768,0
2024-11-28,TFM,112238035.16646768,112238035.16646768,0
2024-11-29,TFM,112238035.16646768,112238035.16646768,0
2024-12-02,TFM,99665104.32278584,112030321.51028584,1
2024-12-03,TFM,99665104.32278584,112273799.63528584,1
2024-12-04,TFM,99665104.32278584,112143365.26028584,1
2024-12-05,TFM,99665104.32278584,112578148.07278584,1
2024-12-06,TFM,71850336.72641148,112419432.62484898,2
2024-12-09,TFM,71850336.72641148,112354148.44516148,2
2024-12-10,TFM,71850336.72641148,112495487.31234898,2
2024-12-11,TFM,71850336.72641148,112582443.56234898,2
2024-12-12,TFM,71850336.72641148,112518329.49984898,2
2024-12-13,TFM,71850336.72641148,112495487.31234898,2
2024-12-16,TFM,71850336.72641148,112454215.43734898,2
2024-12-17,TFM,71850336.72641148,112288997.46859898,2
2024-12-18,TFM,71850336.72641148,112349867.78109898,2
2024-12-19,TFM,71850336.72641148,112259668.36703648,2
2024-12-20,TFM,71850336.72641148,112343380.08578648,2
2024-12-23,TFM,71850336.72641148,112445519.34359898,2
